frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
1736,1736,113.29,22.41,Moderate Fog/Overcast,33.47,2.173,part1_grapevine
1741,1741,116.07,20.79,Moderate Fog/Overcast,26.4,3.41,part1_grapevine
1746,1746,118.78,19.77,Moderate Fog/Overcast,32.83,4.669,part1_grapevine
1751,1751,118.75,24.05,Moderate Fog/Overcast,86.4,4.359,part1_grapevine
1756,1756,123.75,25.7,Moderate Fog/Overcast,57.5,-4.775,part1_grapevine
1761,1761,125.63,28.45,Clear,54.71,-1.933,part1_grapevine
1766,1766,126.01,28.87,Clear,68.71,-2.903,part1_grapevine
1771,1771,125.97,30.42,Clear,28.4,-2.386,part1_grapevine
1776,1776,126.37,31.76,Clear,46.51,4.563,part1_grapevine
1781,1781,126.28,30.31,Clear,29.71,1.915,part1_grapevine
1786,1786,123.28,30.36,Clear,26.82,-3.66,part1_grapevine
1791,1791,120.7,29.06,Clear,32.83,1.189,part1_grapevine
1796,1796,118.41,27.48,Moderate Fog/Overcast,33.85,-1.878,part1_grapevine
1801,1801,116.5,26.96,Moderate Fog/Overcast,76.09,-5.535,part1_grapevine
1806,1806,119.77,39.49,Clear,46.22,-0.967,part1_grapevine
1811,1811,120.23,26.34,Moderate Fog/Overcast,27.52,0.779,part1_grapevine
1816,1816,117.05,26.61,Moderate Fog/Overcast,33.71,6.396,part1_grapevine
1821,1821,115.96,26.37,Moderate Fog/Overcast,47.22,0.824,part1_grapevine
1826,1826,116.8,25.96,Moderate Fog/Overcast,33.78,4.901,part1_grapevine
1831,1831,109.95,32.04,Clear,57.44,-9.901,part1_grapevine
1836,1836,113.2,26.01,Moderate Fog/Overcast,123.91,-8.925,part1_grapevine
1841,1841,105.43,39.08,Clear,82.13,-7.003,part1_grapevine
1846,1846,110.7,30.32,Clear,23.47,0.164,part1_grapevine
1851,1851,109.18,34.86,Clear,61.59,-0.129,part1_grapevine
1856,1856,116.61,29.96,Clear,239.17,-7.49,part1_grapevine
1861,1861,118.16,33.35,Clear,32.6,-0.442,part1_grapevine
1866,1866,124.15,31.71,Clear,57.39,0.514,part1_grapevine
1871,1871,119.11,32.11,Clear,104.66,-8.784,part1_grapevine
1876,1876,120.77,36.18,Clear,54.79,-1.059,part1_grapevine
1881,1881,126.48,30.85,Clear,50.76,1.595,part1_grapevine
1886,1886,125.05,31.33,Clear,106.89,1.297,part1_grapevine
1891,1891,124.03,32.47,Clear,26.12,0.096,part1_grapevine
1896,1896,122.33,36.81,Clear,65.5,-0.703,part1_grapevine
1901,1901,121.18,35.6,Clear,177.37,2.14,part1_grapevine
1906,1906,118.16,40.35,Clear,25.14,3.173,part1_grapevine
1911,1911,120.16,40.21,Clear,34.39,-2.554,part1_grapevine
